task	tool	rc	ms	result	note
bmc_immediate	sby_oss	0	249	DONE (PASS, rc=0)	local sby+yosys+yosys-smtbmc
bmc_concurrent_assert_property	sby_oss	16	159	DONE (ERROR, rc=16)	assert property parser support
bmc_yosys_basic00_pass	sby_oss	16	172	DONE (ERROR, rc=16)	yosys/tests/sva/basic00 parity check (PASS profile)
lec_simple	yosys_oss	0	86	Equivalence successfully proven!	equiv_make/equiv_simple/equiv_status
lec_simple	eqy_oss	0	223	DONE (PASS, rc=0)	eqy simple strategy
opentitan_aes_connectivity	yosys_oss	1	94	ERROR: syntax error, unexpected TOK_PACKAGESEP, expecting ')' or ',' or '='	parse checker + top_earlgrey pkg/top files
bmc_immediate	circt	0	93	BMC_RESULT=UNSAT	immediate assert example
bmc_concurrent_assert_property	circt	0	106	BMC_RESULT=UNSAT	concurrent assert property
lec_simple	circt	0	101	LEC_RESULT=EQ	direct circt-lec run-smtlib
opentitan_aes_connectivity	circt	0	78	EQ	real Z3 result from prior CIRCT OpenTitan run
opentitan_aes_connectivity	circt	0	0	EQ	PASS (connectivity::clkmgr_trans.csv:CLKMGR_TRANS_AES) [real-z3]
